"cc_iso3c","cc_name","ind_cap","ind_crm","ind_dig","ind_ffm","ind_hrm","ind_inc","ind_int","ind_opn","ind_pol","ind_pro","ind_reg","ind_tax","incise_index"
"LVA","Latvia",0.6649318315796057,0.46248187471639923,0.9764045442545746,0.2598626483091687,0.48300313394390665,0.7298006274864138,0.4690309102967245,0.45320147439511116,0.7570977917981072,0.48045436756620274,0.17939980405361414,0.6328184103631475,0.45705554778051327
"JPN","Japan",0.47721630342183086,0.6478972446971039,0.6897513099454611,0.4740963731382756,0.9170540089452963,0,0.6530795046749786,0.6827525298138127,0.6484402383456012,0.44708720875700547,0.41249412711668354,0.4015387300683169,0.45476179750191886
"ITA","Italy",0.39049300147750887,0.6954630220224489,0.6637154328915165,0.42098583279567087,0.5855138169520061,0.6301692887076842,0.15139927303820885,0.4726952706938619,0.45846477392218726,0.6919370395791952,0.5996505244582294,0.4274296518855409,0.41669531559603346
"SVN","Slovenia",0.6879648255920634,0.7924176518169431,0.43077694797516936,0.6902220615324524,0.6075353318212647,0.7902751477333381,0.5353412881969302,0.4212954339985207,0,0.2710035363641614,0.28991223235625657,0.47857584556129373,0.3670193002466866
"ISR","Israel",0.48373251405915924,0.5662730484661003,0.7144199083987692,0,0.6455530957137104,0.5170830023813757,0.4505073978639347,0.42093147445736345,0.5208552400981423,0.8196334662360509,0.31654027183616523,0.2695923691542671,0.32872450187573554
"POL","Poland",0.7265076082478796,0.26724673986038755,0.47238922790385285,0.5704106175659732,0.4563671693298117,0.8840870293269575,0.5556718009992052,0.3808736658310693,0.4679284963196635,0.33186425323469465,0.28709708609372625,0,0.2818922138614067
"ISL","Iceland",0.5999318704771258,0.6280919834980245,0.7036662702754003,0.11731189706255517,0.2051371268718543,0.45703689260222613,0.6083169657970912,0.0920363852136758,0.4093936207500876,0.42487627606830236,0.3342457834887228,0.6991834848862525,0.2591035072800579
"CZE","Czechia",0.6437985954520706,0.7538844005211902,0.49222405708682987,0.5087590272569006,0.4805376971693117,0.1722553364462031,0.2539646610002766,0.3713042047241997,0.32702418506834907,0.6089174817591265,0.5013682391155825,0.07930600494584261,0.2518617872452379
"PRT","Portugal",0.6164506376942563,0.22249844850553824,0.9000064020760229,0.49833881338136327,0.35694224898499866,0.5481638927872675,0.3706570737474644,0.38224821042323126,0.44724851033999297,0.26040687728211553,0.07674367302617643,0.5190596066892638,0.24979062584099507
"TUR","Turkey",0,0.6737103812044661,0.47314815638483904,0.6813596106990996,0.36506157282296864,0.7298234909136038,0.2362685043764123,0,0.408342096039257,0.4227504747409546,0.033703263496222546,0.6511213140103753,0.19203332693677808
"SVK","Slovakia",0.7132762965211441,0.5216490582095119,0.46338606912012703,0.5203152841441161,0,0.4137017828535243,0.08429319170479777,0.46792475148534385,0.19628461268839814,0.3633428031734002,0.4609731066648235,0.42881086008474406,0.17115495897187907
"HRV","Croatia",0.6144466180087512,0.3803604733569058,0,0.45444597120674624,0.45554318250135445,0.5189159046981343,0.3392629891561538,0.24747907595469126,0.06975113915177006,0.4967074557208458,0.36471403930509705,0.5545599929624543,0.14927794786964638
"BGR","Bulgaria",0.5801227342935272,0.5094261459185776,0.29738563514972277,0.5059381531866041,0.19115568269425667,0.6933037006661074,0.22968691027904847,0.30116010782801755,0.1759551349456712,0.46069330391869806,0.412695067934298,0.02095283513987067,0.12958097670475255
"ROU","Romania",0.6349351736006221,0.48767350454124125,0.0012922064516429676,0.5480477943565283,0.40090264932155384,0.8380284143256069,0.2048313972268556,0.30751810899136484,0.05222572730459163,0,0.371120122202597,0.4254318176441115,0.1216608857360482
"GRC","Greece",0.15815399233485247,0.4947172173595462,0.22718184468582805,0.3208489554607418,0.3424488737376893,0.9261743514924142,0.16869665433842357,0.342022284503393,0.3589204346302138,0.5080745052482276,0,0.29558234678114914,0.10637013861734057
"HUN","Hungary",0.5918382123325545,0.5054899534923647,0.21816950533622037,0.10231619816773478,0.2990075068711277,0.021802322387501807,0.2445608338468372,0.08846927449340578,0.46302138100245355,0.43014329351092084,0.09752169650354552,0.4637708413421627,0
