"cc_iso3c","indicator","value","rank_value","value_label","hover_label","colour_group","text_colour","text_weight"
"ESP","ind_crm",0.8172778125298149,8,"0.82","ESP: 0.82","#dddddd","#444444","normal"
"ESP","ind_dig",0.8205117587600549,10,"0.82","ESP: 0.82","#dddddd","#444444","normal"
"ESP","ind_ffm",0.7227850955791714,12,"0.72","ESP: 0.72","#dddddd","#444444","normal"
"ESP","ind_hrm",0.5118733841194687,25,"0.51","ESP: 0.51","#dddddd","#444444","normal"
"ESP","ind_inc",0.6262516344062493,22,"0.63","ESP: 0.63","#dddddd","#444444","normal"
"ESP","ind_int",0.5896095992243519,20,"0.59","ESP: 0.59","#dddddd","#444444","normal"
"ESP","ind_opn",0.61747293468199,17,"0.62","ESP: 0.62","#dddddd","#444444","normal"
"ESP","ind_pol",0.6028741675429373,17,"0.60","ESP: 0.60","#dddddd","#444444","normal"
"ESP","ind_pro",0.4944027213781121,25,"0.49","ESP: 0.49","#dddddd","#444444","normal"
"ESP","ind_reg",0.27227373907812286,31,"0.27","ESP: 0.27","#dddddd","#444444","normal"
"ESP","ind_tax",0.7404584770080004,7,"0.74","ESP: 0.74","#dddddd","#444444","normal"
"ESP","incise_index",0.5979908496080772,17,"0.60","ESP: 0.60","#dddddd","#444444","normal"
"BEL","ind_cap",0.4981954977022025,31,"0.50","BEL: 0.50","#dddddd","#444444","normal"
"BEL","ind_crm",0.6920240323112185,17,"0.69","BEL: 0.69","#dddddd","#444444","normal"
"BEL","ind_dig",0.6472897619309077,20,"0.65","BEL: 0.65","#dddddd","#444444","normal"
"BEL","ind_ffm",0.3472140761088162,34,"0.35","BEL: 0.35","#dddddd","#444444","normal"
"BEL","ind_hrm",0.7560834557561475,11,"0.76","BEL: 0.76","#dddddd","#444444","normal"
"BEL","ind_inc",0.6697116581369934,19,"0.67","BEL: 0.67","#dddddd","#444444","normal"
"BEL","ind_int",0.6870064202749298,13,"0.69","BEL: 0.69","#dddddd","#444444","normal"
"BEL","ind_opn",0.4869784958522656,21,"0.49","BEL: 0.49","#dddddd","#444444","normal"
"BEL","ind_pol",0.6905012267788294,12,"0.69","BEL: 0.69","#dddddd","#444444","normal"
"BEL","ind_pro",0.5079366505581616,21,"0.51","BEL: 0.51","#dddddd","#444444","normal"
"BEL","ind_reg",0.25960611908152853,33,"0.26","BEL: 0.26","#dddddd","#444444","normal"
"BEL","ind_tax",0.6531558503576635,13,"0.65","BEL: 0.65","#dddddd","#444444","normal"
"BEL","incise_index",0.5181720248904672,18,"0.52","BEL: 0.52","#dddddd","#444444","normal"
"DEU","ind_cap",0.5411967840874379,30,"0.54","DEU: 0.54","#dddddd","#444444","normal"
"DEU","ind_crm",0,39,"0.00","DEU: 0.00","#dddddd","#444444","normal"
"DEU","ind_dig",0.7315596024840414,12,"0.73","DEU: 0.73","#dddddd","#444444","normal"
"DEU","ind_ffm",0.8245121550969247,5,"0.82","DEU: 0.82","#009d94","#009d94","bold"
"DEU","ind_hrm",0.6794887430749189,14,"0.68","DEU: 0.68","#dddddd","#444444","normal"
"DEU","ind_inc",0.7590249869488299,9,"0.76","DEU: 0.76","#dddddd","#444444","normal"
"DEU","ind_int",0.7786717924142,9,"0.78","DEU: 0.78","#dddddd","#444444","normal"
"DEU","ind_opn",0.6741712306035362,14,"0.67","DEU: 0.67","#dddddd","#444444","normal"
"DEU","ind_pol",0.3648790746582546,32,"0.36","DEU: 0.36","#dddddd","#444444","normal"
"DEU","ind_pro",0.31228301613377063,36,"0.31","DEU: 0.31","#dddddd","#444444","normal"
"DEU","ind_reg",0.6970416004043598,6,"0.70","DEU: 0.70","#dddddd","#444444","normal"
"DEU","ind_tax",0.37484098428432927,34,"0.37","DEU: 0.37","#dddddd","#444444","normal"
"DEU","incise_index",0.4986424324262602,20,"0.50","DEU: 0.50","#dddddd","#444444","normal"
"LTU","ind_cap",0.2908033214167908,37,"0.29","LTU: 0.29","#dddddd","#444444","normal"
"LTU","ind_crm",0.593204890786959,25,"0.59","LTU: 0.59","#dddddd","#444444","normal"
"LTU","ind_dig",0.8412572629351593,8,"0.84","LTU: 0.84","#dddddd","#444444","normal"
"LTU","ind_ffm",0.6162814661516733,20,"0.62","LTU: 0.62","#dddddd","#444444","normal"
"LTU","ind_hrm",0.6139207897974333,19,"0.61","LTU: 0.61","#dddddd","#444444","normal"
"LTU","ind_inc",0.4595190556572947,31,"0.46","LTU: 0.46","#dddddd","#444444","normal"
"LTU","ind_int",0.4990550745483277,26,"0.50","LTU: 0.50","#dddddd","#444444","normal"
"LTU","ind_opn",0.4057570145269563,29,"0.41","LTU: 0.41","#dddddd","#444444","normal"
"LTU","ind_pol",0.6855941114616194,13,"0.69","LTU: 0.69","#dddddd","#444444","normal"
"LTU","ind_pro",0.4772685530895957,27,"0.48","LTU: 0.48","#dddddd","#444444","normal"
"LTU","ind_reg",0.519451872137051,17,"0.52","LTU: 0.52","#dddddd","#444444","normal"
"LTU","ind_tax",0.6328004030066989,16,"0.63","LTU: 0.63","#dddddd","#444444","normal"
"LTU","incise_index",0.4908523393299859,21,"0.49","LTU: 0.49","#dddddd","#444444","normal"
"MEX","ind_cap",0.4889287931581656,32,"0.49","MEX: 0.49","#dddddd","#444444","normal"
"MEX","ind_crm",0.6009944071494594,24,"0.60","MEX: 0.60","#dddddd","#444444","normal"
"MEX","ind_dig",0.5856174162449412,25,"0.59","MEX: 0.59","#dddddd","#444444","normal"
"MEX","ind_ffm",0.8002820630646272,6,"0.80","MEX: 0.80","#dddddd","#444444","normal"
"MEX","ind_hrm",0.13173976237872814,38,"0.13","MEX: 0.13","#dddddd","#444444","normal"
"MEX","ind_inc",0.5829209292839558,25,"0.58","MEX: 0.58","#dddddd","#444444","normal"
"MEX","ind_int",0,39,"0.00","MEX: 0.00","#dddddd","#444444","normal"
"MEX","ind_opn",0.5525749785069233,20,"0.55","MEX: 0.55","#dddddd","#444444","normal"
"MEX","ind_pol",0.5250613389414651,21,"0.53","MEX: 0.53","#dddddd","#444444","normal"
"MEX","ind_pro",0.5897097505380846,14,"0.59","MEX: 0.59","#dddddd","#444444","normal"
"MEX","ind_reg",0.8653495039076831,2,"0.87","MEX: 0.87","#009d94","#009d94","bold"
"MEX","ind_tax",0.7375522037955083,8,"0.74","MEX: 0.74","#dddddd","#444444","normal"
"MEX","incise_index",0.47373062854430864,22,"0.47","MEX: 0.47","#dddddd","#444444","normal"
"CHL","ind_cap",0.587338470040585,27,"0.59","CHL: 0.59","#dddddd","#444444","normal"
"CHL","ind_crm",0.5520198893300619,27,"0.55","CHL: 0.55","#dddddd","#444444","normal"
"CHL","ind_dig",0.6013401451285562,23,"0.60","CHL: 0.60","#dddddd","#444444","normal"
"CHL","ind_ffm",0.4769086571409024,30,"0.48","CHL: 0.48","#dddddd","#444444","normal"
"CHL","ind_hrm",0.555182833223597,24,"0.56","CHL: 0.56","#dddddd","#444444","normal"
"CHL","ind_inc",0.6470354133429576,20,"0.65","CHL: 0.65","#dddddd","#444444","normal"
"CHL","ind_int",0.5382717461797135,23,"0.54","CHL: 0.54","#dddddd","#444444","normal"
